finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
PINKY,-0.856,0.355,0.232,Right,-0.74,-0.415,-0.45,0.28,B
RING,-0.943,0.109,-0.136,Towards you,0.211,-0.678,0.323,0.625,B
MIDDLE,-0.967,-0.104,0.072,Left,0.667,-0.344,0.595,0.288,B
THUMB,0.832,-0.579,0.181,Towards you,0.654,-0.125,-0.651,0.365,B
INDEX,-0.892,-0.124,0.217,Left,0.475,-0.532,0.278,0.643,B
PALM,1.015,0.181,0.108,Towards you,-0.705,0.17,0.626,0.287,B
PINKY,-0.855,0.363,0.231,Right,-0.745,-0.405,-0.459,0.263,B
RING,-0.944,0.1,-0.137,Towards you,0.202,-0.683,0.315,0.628,B
MIDDLE,-0.978,-0.101,0.074,Left,0.665,-0.347,0.594,0.291,B
THUMB,0.826,-0.564,0.194,Towards you,0.658,-0.132,-0.649,0.358,B
INDEX,-0.89,-0.127,0.216,Left,0.469,-0.534,0.275,0.647,B
PALM,1.016,0.184,0.109,Towards you,-0.702,0.177,0.625,0.293,B
PINKY,-0.855,0.359,0.22,Right,-0.75,-0.397,-0.469,0.246,B
RING,-0.94,0.118,-0.147,Towards you,0.193,-0.687,0.308,0.629,B
MIDDLE,-0.973,-0.092,0.065,Left,0.662,-0.35,0.594,0.295,B
THUMB,0.832,-0.581,0.192,Towards you,0.662,-0.139,-0.646,0.353,B
INDEX,-0.889,-0.124,0.223,Left,0.464,-0.536,0.272,0.65,B
PALM,1.008,0.179,0.11,Towards you,-0.699,0.184,0.624,0.298,B
PINKY,-0.862,0.35,0.23,Right,-0.755,-0.386,-0.478,0.23,B
RING,-0.941,0.112,-0.159,Towards you,0.185,-0.692,0.298,0.63,B
MIDDLE,-0.974,-0.086,0.059,Left,0.659,-0.354,0.593,0.298,B
THUMB,0.834,-0.566,0.188,Towards you,0.665,-0.146,-0.644,0.348,B
INDEX,-0.894,-0.123,0.217,Left,0.458,-0.54,0.267,0.654,B
PALM,1.011,0.18,0.103,Towards you,-0.695,0.188,0.624,0.304,B
PINKY,-0.867,0.349,0.21,Right,-0.759,-0.375,-0.488,0.212,B
RING,-0.942,0.111,-0.156,Towards you,0.176,-0.697,0.288,0.632,B
MIDDLE,-0.967,-0.086,0.062,Left,0.657,-0.358,0.59,0.301,B
THUMB,0.833,-0.572,0.201,Towards you,0.668,-0.151,-0.643,0.343,B
INDEX,-0.893,-0.132,0.216,Left,0.451,-0.543,0.262,0.658,B
PALM,1.014,0.187,0.091,Towards you,-0.692,0.193,0.622,0.31,B
PINKY,-0.855,0.361,0.228,Right,-0.765,-0.364,-0.494,0.196,B
RING,-0.946,0.107,-0.146,Towards you,0.168,-0.699,0.278,0.636,B
MIDDLE,-0.976,-0.105,0.069,Left,0.657,-0.362,0.586,0.306,B
THUMB,0.829,-0.591,0.196,Towards you,0.669,-0.156,-0.644,0.337,B
INDEX,-0.892,-0.13,0.21,Left,0.446,-0.545,0.254,0.663,B
PALM,1.012,0.184,0.12,Towards you,-0.691,0.196,0.62,0.316,B
PINKY,-0.859,0.361,0.22,Right,-0.769,-0.352,-0.503,0.178,B
RING,-0.951,0.093,-0.148,Towards you,0.159,-0.704,0.267,0.639,B
MIDDLE,-0.969,-0.115,0.069,Left,0.655,-0.367,0.583,0.31,B
THUMB,0.821,-0.582,0.188,Towards you,0.67,-0.165,-0.644,0.33,B
INDEX,-0.898,-0.132,0.203,Left,0.439,-0.549,0.249,0.666,B
PALM,1.012,0.178,0.088,Towards you,-0.687,0.201,0.621,0.32,B
