finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
INDEX,-0.897,-0.134,0.185,Towards you,0.336,-0.597,0.177,0.707,B
PALM,1.021,0.192,0.072,Left,-0.536,0.401,0.543,0.507,B
PINKY,-0.885,0.342,0.146,Away from you,-0.74,-0.054,-0.633,-0.22,B
RING,-0.933,0.087,-0.216,Towards you,-0.017,-0.769,0.061,0.636,B
MIDDLE,-0.974,-0.127,0.016,Left,0.617,-0.42,0.569,0.344,B
THUMB,0.797,-0.633,0.18,Towards you,0.739,-0.382,-0.542,0.12,B
INDEX,-0.895,-0.134,0.187,Towards you,0.322,-0.602,0.163,0.713,B
PALM,1.02,0.19,0.048,Left,-0.534,0.401,0.545,0.507,B
PINKY,-0.885,0.33,0.157,Away from you,-0.731,-0.035,-0.638,-0.237,B
RING,-0.938,0.079,-0.206,Towards you,-0.026,-0.773,0.046,0.632,B
MIDDLE,-0.963,-0.134,0.016,Left,0.612,-0.429,0.567,0.347,B
THUMB,0.768,-0.657,0.208,Towards you,0.74,-0.388,-0.537,0.12,B
INDEX,-0.912,-0.14,0.146,Towards you,0.311,-0.609,0.157,0.712,B
PALM,1.023,0.177,-0.007,Left,-0.528,0.407,0.548,0.505,B
PINKY,-0.88,0.334,0.161,Away from you,-0.722,-0.018,-0.643,-0.255,B
RING,-0.931,0.083,-0.195,Towards you,-0.038,-0.775,0.033,0.63,B
MIDDLE,-0.97,-0.106,0.011,Left,0.608,-0.434,0.564,0.353,B
THUMB,0.789,-0.631,0.188,Towards you,0.741,-0.39,-0.534,0.116,B
INDEX,-0.917,-0.124,0.146,Towards you,0.303,-0.61,0.151,0.716,B
PALM,1.018,0.174,0.019,Left,-0.525,0.412,0.543,0.509,B
PINKY,-0.88,0.33,0.156,Away from you,-0.716,-0.004,-0.643,-0.272,B
RING,-0.935,0.081,-0.206,Towards you,-0.046,-0.775,0.023,0.63,B
MIDDLE,-0.975,-0.103,-0.002,Left,0.606,-0.437,0.562,0.355,B
THUMB,0.776,-0.635,0.201,Towards you,0.742,-0.396,-0.53,0.11,B
INDEX,-0.91,-0.132,0.142,Towards you,0.297,-0.613,0.146,0.718,B
PALM,1.021,0.184,0.015,Left,-0.518,0.418,0.541,0.514,B
PINKY,-0.882,0.339,0.144,Away from you,-0.71,0.01,-0.644,-0.286,B
RING,-0.938,0.077,-0.205,Towards you,-0.052,-0.777,0.015,0.628,B
MIDDLE,-0.977,-0.103,0.004,Left,0.605,-0.438,0.562,0.356,B
THUMB,0.778,-0.64,0.209,Towards you,0.743,-0.402,-0.525,0.097,B
INDEX,-0.903,-0.131,0.149,Towards you,0.297,-0.609,0.147,0.72,B
PALM,1.016,0.194,0.001,Left,-0.51,0.429,0.529,0.526,B
PINKY,-0.861,0.373,0.182,Away from you,-0.708,0.008,-0.641,-0.297,B
RING,-0.938,0.14,-0.18,Towards you,-0.06,-0.773,0.022,0.631,B
INDEX,-0.898,-0.1,0.187,Towards you,0.293,-0.602,0.15,0.727,B
RING,-0.927,0.095,-0.215,Towards you,-0.071,-0.773,0.007,0.63,B
MIDDLE,-0.97,-0.098,0.022,Left,0.604,-0.433,0.56,0.366,B
INDEX,-0.917,-0.111,0.159,Towards you,0.274,-0.608,0.133,0.734,B
PALM,1.024,0.178,0.027,Left,-0.493,0.451,0.506,0.546,B
PINKY,-0.87,0.36,0.158,Away from you,-0.679,0.064,-0.635,-0.362,B
RING,-0.929,0.102,-0.196,Towards you,-0.095,-0.772,-0.021,0.628,B
MIDDLE,-0.964,-0.081,0.04,Left,0.6,-0.44,0.553,0.375,B
THUMB,0.813,-0.603,0.173,Towards you,0.749,-0.422,-0.508,0.056,B
INDEX,-0.911,-0.146,0.17,Towards you,0.268,-0.609,0.126,0.736,B
PALM,1.026,0.166,-0.001,Left,-0.488,0.455,0.502,0.55,B
PINKY,-0.862,0.371,0.17,Away from you,-0.671,0.076,-0.634,-0.377,B
RING,-0.934,0.105,-0.182,Towards you,-0.104,-0.771,-0.03,0.627,B
MIDDLE,-0.974,-0.112,0.016,Left,0.598,-0.442,0.551,0.379,B
THUMB,0.778,-0.659,0.213,Towards you,0.75,-0.428,-0.502,0.049,B
INDEX,-0.901,-0.112,0.176,Towards you,0.262,-0.61,0.123,0.738,B
PALM,1.026,0.163,0.054,Left,-0.482,0.461,0.496,0.555,B
PINKY,-0.872,0.356,0.154,Away from you,-0.662,0.09,-0.632,-0.393,B
RING,-0.932,0.098,-0.209,Towards you,-0.113,-0.771,-0.041,0.625,B
MIDDLE,-0.969,-0.088,0.017,Left,0.595,-0.446,0.549,0.382,B
THUMB,0.791,-0.627,0.198,Towards you,0.75,-0.432,-0.499,0.043,B
INDEX,-0.894,-0.133,0.192,Towards you,0.254,-0.61,0.117,0.741,B
