finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
PALM,-0.099,-0.746,-0.69,Down,-0.337,0.803,-0.471,0.144,A
PINKY,-0.486,0.767,-0.343,Towards you,0.313,0.699,-0.387,-0.514,A
RING,-0.647,0.633,-0.291,Right,-0.611,-0.635,-0.465,0.081,A
MIDDLE,-0.795,0.589,0.013,Left,0.263,-0.358,0.609,0.657,A
THUMB,-0.758,-0.103,0.715,Left,0.711,-0.275,0.277,0.584,A
INDEX,-0.679,0.55,0.282,Left,0.304,-0.281,0.485,0.77,B
PALM,-0.106,-0.775,-0.661,Down,-0.328,0.802,-0.481,0.132,B
PINKY,-0.568,0.726,-0.321,Towards you,0.315,0.709,-0.367,-0.513,B
RING,-0.699,0.605,-0.25,Right,-0.612,-0.624,-0.48,0.08,B
MIDDLE,-0.825,0.571,0.012,Left,0.257,-0.377,0.598,0.658,B
THUMB,-0.793,-0.082,0.708,Left,0.703,-0.287,0.278,0.588,B
INDEX,-0.766,0.54,0.287,Left,0.297,-0.295,0.482,0.769,B
PALM,-0.092,-0.724,-0.706,Down,-0.328,0.804,-0.481,0.126,B
PINKY,-0.484,0.746,-0.389,Towards you,0.322,0.713,-0.363,-0.505,B
RING,-0.708,0.683,-0.312,Right,-0.607,-0.626,-0.484,0.074,B
MIDDLE,-0.874,0.596,0.057,Left,0.251,-0.385,0.602,0.653,B
THUMB,-0.75,-0.082,0.659,Left,0.7,-0.284,0.281,0.592,B
INDEX,-0.675,0.502,0.213,Left,0.293,-0.296,0.488,0.767,B
PALM,-0.119,-0.74,-0.721,Down,-0.331,0.797,-0.489,0.126,B
PINKY,-0.471,0.74,-0.376,Towards you,0.323,0.727,-0.345,-0.499,B
RING,-0.668,0.616,-0.296,Right,-0.604,-0.619,-0.497,0.071,B
MIDDLE,-0.843,0.546,-0.01,Left,0.246,-0.394,0.6,0.651,B
THUMB,-0.792,-0.12,0.673,Left,0.695,-0.286,0.286,0.594,B
INDEX,-0.736,0.492,0.26,Left,0.29,-0.308,0.491,0.762,B
PALM,-0.124,-0.75,-0.688,Down,-0.331,0.793,-0.498,0.118,B
PINKY,-0.557,0.743,-0.369,Towards you,0.322,0.737,-0.333,-0.492,B
RING,-0.688,0.594,-0.283,Right,-0.599,-0.616,-0.508,0.072,B
MIDDLE,-0.798,0.519,-0.038,Left,0.248,-0.402,0.599,0.647,B
THUMB,-0.779,-0.044,0.702,Left,0.696,-0.288,0.292,0.589,B
INDEX,-0.727,0.569,0.22,Left,0.296,-0.312,0.495,0.755,B
PALM,-0.141,-0.711,-0.721,Down,-0.33,0.787,-0.508,0.117,B
PINKY,-0.546,0.748,-0.365,Towards you,0.327,0.743,-0.316,-0.491,B
RING,-0.644,0.639,-0.334,Right,-0.601,-0.608,-0.514,0.074,B
MIDDLE,-0.78,0.616,-0.049,Left,0.252,-0.407,0.594,0.646,B
THUMB,-0.754,-0.046,0.654,Left,0.698,-0.292,0.29,0.586,B
INDEX,-0.734,0.455,0.239,Left,0.294,-0.313,0.491,0.758,B
PALM,-0.144,-0.675,-0.777,Down,-0.325,0.786,-0.511,0.121,B
PINKY,-0.5,0.762,-0.409,Towards you,0.33,0.743,-0.309,-0.494,B
RING,-0.649,0.641,-0.321,Right,-0.604,-0.605,-0.514,0.074,B
MIDDLE,-0.798,0.553,0.004,Left,0.25,-0.406,0.592,0.65,B
THUMB,-0.739,-0.1,0.659,Left,0.702,-0.291,0.287,0.583,B
INDEX,-0.703,0.48,0.228,Left,0.3,-0.31,0.489,0.758,B
PALM,-0.14,-0.712,-0.736,Down,-0.319,0.779,-0.524,0.129,B
PINKY,-0.519,0.714,-0.38,Towards you,0.337,0.748,-0.3,-0.487,B
RING,-0.675,0.605,-0.315,Right,-0.601,-0.602,-0.521,0.067,B
MIDDLE,-0.82,0.577,-0.05,Left,0.245,-0.414,0.592,0.646,B
THUMB,-0.786,-0.049,0.672,Left,0.697,-0.292,0.296,0.585,B
INDEX,-0.75,0.504,0.225,Left,0.295,-0.32,0.495,0.752,B
PALM,-0.151,-0.675,-0.752,Down,-0.325,0.776,-0.528,0.12,B
PINKY,-0.545,0.727,-0.377,Towards you,0.342,0.759,-0.279,-0.478,B
RING,-0.677,0.624,-0.336,Right,-0.598,-0.592,-0.537,0.062,B
